"Compound","rt","mz","240927_50MeOH_pos_P2A1_1_9665","240927_50MeOH_pos_P2A1_1_9666","240927_50MeOH_pos_P2A1_1_9667","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9668","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9669","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9670","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9671","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9672","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9673","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9674","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9675","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9676","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9725","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9726","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9727","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9728","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9729","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9730","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9731","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9732","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9733","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9782","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9783","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9784","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9785","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9786","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9787","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9788","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9789","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9790"
"78.97764 Da 32.87 s",0.55,40.4961,1502,1904,1580,1760,1898,730,2330,2644,3104,0,3642,0,3102,7762,2832,3918,3792,0,5524,4640,0,0,3466,4338,0,3214,4746,5962,0,0
"114.99812 Da 32.88 s",0.55,58.50634,0,0,0,0,0,0,0,9048,0,14466,0,5584,0,0,5578,0,0,7172,0,0,0,0,0,0,10354,0,0,0,0,0
"96.98745 Da 32.96 s",0.55,49.501,0,3374,0,4358,6020,0,5628,7460,8002,0,7398,5550,0,18096,0,9880,11012,7884,10956,11364,8308,10922,0,0,11960,7004,11988,15606,7568,12054
"142.04454 Da 33.08 s",0.55,72.02955,1602,970,1068,1148,1520,676,1670,1906,3738,6486,2154,1816,1568,6096,1730,2156,3740,1768,2076,0,1664,0,1550,1456,0,1786,1896,4404,1136,1966
"53.49155 Da 33.08 s",0.55,54.49882,686,748,820,766,934,370,954,1436,1166,2324,1378,944,1112,0,1356,1730,1742,1272,1688,2466,1486,1914,1102,1670,0,1316,2302,3656,1602,2402
"70.52394 Da 33.13 s",0.55,71.53122,1538,0,1594,1610,0,0,0,2970,4360,6744,1978,1764,1868,8452,1468,1740,4614,0,2340,2710,2218,0,1462,1258,3916,1554,2860,5654,1828,2444
"124.03078 Da 33.14 s",0.55,63.02267,580,0,0,0,558,182,690,862,1170,3118,682,0,564,2628,874,706,1010,722,954,746,986,850,760,646,1928,830,908,2460,0,970
"132.03095 Da 33.23 s",0.55,67.02275,390,484,426,222,486,292,376,566,1048,2354,0,458,544,2452,0,946,1368,0,852,942,618,990,768,0,1594,902,934,2628,0,1034
"312.15066 Da 33.77 s",0.56,157.08261,6910,6656,9536,0,0,0,7536,10272,6896,5618,6620,0,4392,4692,6284,0,5966,0,0,0,6654,0,0,7166,6004,0,6060,4630,4746,4448
"258.24138 Da 34.24 s",0.57,130.12797,272,106,0,0,186,248,302,302,230,330,8526,190,138,302,0,198,190,90,7590,214,0,198,132,192,0,106,106,486,410,6120
"410.31308 Da 35.81 s",0.6,411.32035,0,0,0,0,0,0,0,0,0,0,4088,0,0,0,0,0,0,0,3594,0,0,0,0,0,0,0,0,0,0,4246
"55.00686 Da 36.17 s",0.6,56.01414,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,2226,0,0,0,0,0,0,0,0,0,0,2292
"159.15947 Da 36.30 s",0.6,80.58701,0,0,0,0,0,0,0,0,0,0,8162,0,0,0,0,0,0,0,7122,0,0,0,0,0,0,0,0,0,0,8662
"187.19210 Da 36.32 s",0.61,94.60333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12830,0,0,0,0,0,0,0,0,0,0,16668
"627.85138 Da 36.43 s",0.61,628.85866,0,0,0,1508,1840,674,1822,438,2318,2876,622,1772,1324,2574,1710,2084,2218,1110,590,588,1754,744,1730,1694,2456,770,1906,2094,1854,766
"559.86419 Da 36.44 s",0.61,560.87147,0,50,0,1754,2264,972,1690,640,2554,2582,564,2102,1640,2706,1706,1738,2500,872,774,778,2024,746,1924,1888,2352,1094,2108,2256,1798,856
"126.01791 Da 36.45 s",0.61,64.01623,0,0,0,0,0,0,0,0,0,0,2746,1842,0,0,1928,0,0,66,0,0,0,0,0,0,1546,0,2078,0,2212,0
"491.87627 Da 36.52 s",0.61,492.88355,166,226,218,2088,1748,994,2102,758,2456,2994,798,2046,1890,2290,1990,2162,2046,1292,676,910,1844,732,1938,2560,1926,1242,1988,2436,1820,938
"219.92677 Da 36.53 s",0.61,220.93404,864,790,978,2492,1958,1706,2840,1552,2786,3126,1342,2646,2486,3048,2320,2862,2570,1854,1356,2214,2770,1922,2148,2470,2482,2150,2684,3108,2012,1580
"423.88897 Da 36.58 s",0.61,424.89624,392,324,242,2374,2884,1322,2544,1550,3198,3422,1400,3084,3080,3266,2978,2852,2918,1758,1300,1132,3258,1896,2842,3430,3036,2374,2708,3042,2600,1556
"701.85597 Da 36.59 s",0.61,702.86324,0,50,0,6792,13000,1808,13840,1194,21726,32690,1196,16762,9034,32650,16456,13752,27574,2230,2042,1188,15206,1446,10110,17754,23996,2818,15754,32750,18858,1824
"837.83061 Da 36.60 s",0.61,838.83789,0,0,0,2708,6242,904,5198,0,11664,18970,342,7968,4182,17810,7884,6220,13150,684,582,442,6944,382,4668,8592,11634,844,7116,19378,8826,792
"497.89351 Da 36.61 s",0.61,498.90079,0,0,108,6878,10346,2948,9832,1790,17022,21312,2432,14720,8094,20760,12184,12894,15646,2414,2398,1542,12456,2162,9348,14138,16596,3612,13208,21868,13392,3004
"429.90596 Da 36.61 s",0.61,430.91323,218,324,0,13900,22496,4524,22810,3228,34794,42590,3344,26038,16372,38424,24582,23626,34516,5268,3924,2944,23272,4106,17054,26602,32476,7074,25304,36894,25804,5982
"361.91848 Da 36.61 s",0.61,362.92576,430,240,374,12122,22424,4440,19682,3386,26590,35428,4280,24006,15500,39402,19738,20664,30894,5292,4294,3388,24062,3958,18952,24462,28030,6564,22364,33238,25704,5564
"633.86868 Da 36.63 s",0.61,634.87595,0,0,0,6522,10870,1956,10358,1196,17258,23496,1334,13028,6952,24330,12814,11430,17418,1668,1664,1110,10958,1084,9426,13808,18140,3206,12006,21590,13120,1922
"973.80670 Da 36.63 s",0.61,974.81397,0,0,0,884,2136,120,1712,0,4474,7104,0,2656,1458,8124,2766,1644,4582,0,206,0,2920,0,1582,3198,5464,324,2816,9446,2916,242
"769.84327 Da 36.64 s",0.61,770.85055,0,0,0,3872,8352,724,7358,690,13650,21682,588,10512,5346,22122,9480,8322,14996,1244,732,0,9876,738,5970,11012,15860,1898,10170,22126,12588,1312
"905.81803 Da 36.64 s",0.61,906.82531,0,0,0,1486,4128,480,3492,0,7246,13208,0,5402,2350,13980,5326,4344,9246,0,320,202,4908,0,2528,5526,9696,598,5454,15618,6102,530
"565.88111 Da 36.65 s",0.61,566.88838,0,0,104,7950,12788,2580,12794,1314,20970,26414,1918,16512,9172,26868,16190,13976,22328,3112,2456,1634,14496,2260,11110,16856,19328,4150,15338,26434,16014,3418
"695.83891 Da 36.66 s",0.61,696.84619,0,0,0,1256,1786,588,1654,348,2272,3066,866,2350,1682,2798,1838,1776,2396,718,542,738,2170,470,1626,1994,2702,856,2198,2656,2036,504
"667.86269 Da 36.69 s",0.61,668.86997,0,0,0,1288,1914,0,2330,0,3828,6594,0,3102,1710,5288,3036,1944,5144,0,0,0,2998,0,1462,2954,4516,0,2742,5800,4072,0
"226.17866 Da 36.91 s",0.62,227.18594,0,0,0,0,0,0,0,0,0,105652,0,0,0,116096,0,0,0,0,0,0,0,0,0,0,0,0,0,87586,0,0
"566.14738 Da 37.60 s",0.63,567.15465,0,0,0,0,0,0,0,2338,0,4756,0,0,0,4832,0,0,0,0,0,1620,0,2372,0,0,0,0,0,4078,0,0
"92.54995 Da 38.21 s",0.64,93.55723,0,0,0,0,0,0,0,0,0,17672,0,0,0,20518,0,0,0,0,0,0,0,0,0,0,0,0,0,8982,0,0
"136.33022 Da 38.63 s",0.64,137.33749,0,0,0,0,0,0,0,6380,0,5396,0,0,0,5232,0,0,0,0,0,5874,0,5374,0,0,0,0,0,2922,0,0
"136.23585 Da 38.65 s",0.64,137.24313,0,0,0,0,0,0,0,0,0,5570,0,0,0,5578,0,0,0,0,0,5812,0,5160,0,0,0,0,0,2346,0,0
"136.16175 Da 38.69 s",0.64,137.16903,0,0,0,0,0,0,0,10168,0,9562,0,0,0,9502,0,0,0,0,0,9730,0,9028,0,0,0,0,0,7042,0,0
"136.39989 Da 38.74 s",0.65,137.40716,0,0,0,0,0,0,0,21638,0,19962,0,0,0,20776,0,0,0,0,0,21944,0,20448,0,0,0,0,0,0,0,0
"136.26480 Da 38.75 s",0.65,137.27208,0,0,0,0,0,0,0,5260,0,4676,0,0,0,4802,0,0,0,0,0,5260,0,4594,0,0,0,0,0,2834,0,0
"136.31971 Da 38.75 s",0.65,137.32699,0,0,0,0,0,0,0,6292,0,5552,0,0,0,5388,0,0,0,0,0,5818,0,5474,0,0,0,0,0,3208,0,0
"136.28284 Da 38.75 s",0.65,137.29011,0,0,0,0,0,0,0,6526,0,5748,0,0,0,5514,0,0,0,0,0,5912,0,5416,0,0,0,0,0,3200,0,0
"136.39154 Da 38.75 s",0.65,137.39881,0,0,0,0,0,0,0,16896,0,16094,0,0,0,16026,0,0,0,0,0,16936,0,15976,0,0,0,0,0,12610,0,0
"136.22528 Da 38.76 s",0.65,137.23255,0,0,0,0,0,0,0,11242,0,10560,0,0,0,10724,0,0,0,0,0,10882,0,10756,0,0,0,0,0,8820,0,0
"136.24939 Da 38.78 s",0.65,137.25667,0,0,0,0,0,0,0,0,0,5024,0,0,0,4948,0,0,0,0,0,4916,0,4522,0,0,0,0,0,3276,0,0
"480.04847 Da 39.16 s",0.65,481.05574,0,0,0,1256,0,0,0,0,0,274,0,0,2018,0,0,0,0,0,0,0,0,0,2484,0,0,0,0,0,0,0
"42.03609 Da 39.18 s",0.65,43.04336,1114,1068,976,8312,1056,0,936,0,1088,966,0,864,8452,924,0,1304,1008,1026,0,712,0,0,7706,0,0,0,782,448,912,0
"504.00530 Da 39.21 s",0.65,505.01258,0,0,0,1304,0,0,0,0,0,0,0,0,1738,310,0,0,0,0,0,0,0,0,2014,0,0,0,0,0,0,0
"688.15910 Da 39.28 s",0.65,689.16638,154,180,0,306,0,44,210,0,174,130,0,124,0,316,0,0,0,134,0,0,0,0,0,0,0,0,0,0,128,68
"645.11750 Da 39.28 s",0.65,646.12478,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0
"577.12930 Da 39.28 s",0.65,578.13658,0,0,0,332,0,0,0,0,0,314,0,0,266,338,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0
"524.01105 Da 39.41 s",0.66,525.01833,0,0,0,3156,0,0,0,0,0,504,0,0,4682,538,0,0,0,0,0,0,0,0,7000,0,0,0,0,898,0,0
"632.08256 Da 39.45 s",0.66,633.08984,0,0,0,454,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0
"277.97032 Da 39.48 s",0.66,278.97759,0,0,0,1782,0,274,0,0,0,542,0,0,2016,416,0,0,0,0,0,0,0,0,2586,0,0,100,0,340,52,0
"517.99477 Da 39.53 s",0.66,519.00205,0,0,0,3542,0,0,0,0,0,224,0,0,4926,286,0,0,0,0,0,0,0,0,4192,0,0,0,0,184,0,0
"353.02915 Da 39.54 s",0.66,354.03643,0,0,0,2500,0,182,0,0,0,580,0,0,2104,538,0,0,0,0,0,0,0,0,2178,0,0,0,0,370,0,0
"308.19542 Da 39.63 s",0.66,309.20269,1564,1854,1496,1770,2022,1680,2154,1808,1824,1460,0,1738,1366,74,1426,1374,1244,1518,0,1138,1528,0,1518,1454,2000,1502,1618,80,1460,0
"682.14201 Da 39.79 s",0.66,683.14928,0,0,0,0,0,0,0,0,0,0,0,0,52,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138.07887 Da 39.94 s",0.67,139.08615,0,0,60,0,0,0,0,12790,0,19226,1042,1096,0,15998,1140,1038,0,0,0,15008,1588,13028,0,1060,954,0,0,6946,0,0
"603.12923 Da 40.29 s",0.67,604.1365,0,0,0,2836,0,0,0,0,0,0,0,0,1602,0,0,0,0,0,0,0,0,0,2134,0,0,0,0,0,0,0
"424.11226 Da 40.41 s",0.67,425.11954,0,0,0,14104,0,0,0,0,0,866,0,0,12940,1168,0,0,0,0,0,0,0,0,11068,0,0,0,0,820,0,0
"411.04205 Da 40.51 s",0.68,412.04933,0,0,0,0,0,644,0,0,0,2560,0,0,0,3024,0,0,0,746,0,0,0,160,0,0,0,728,0,2456,0,0
"461.09416 Da 40.67 s",0.68,231.55436,0,0,0,0,0,2826,0,0,0,0,0,0,0,1994,0,0,0,4376,0,0,0,0,0,0,0,5032,0,1068,0,0
"43.03052 Da 40.74 s",0.68,44.0378,0,0,0,2544,0,0,0,0,0,0,76,0,3762,1864,0,0,98,0,794,0,0,0,3076,0,0,0,0,1514,0,216
"368.02445 Da 40.86 s",0.68,369.03173,0,0,0,2790,0,0,0,0,0,1084,0,0,1866,572,0,0,0,0,0,0,0,0,1444,0,0,0,0,344,0,0
"590.08345 Da 41.10 s",0.68,591.09072,0,0,0,900,0,412,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187.01634 Da 41.14 s",0.69,188.02362,0,0,0,2736,0,0,0,0,72,1482,134,0,2442,1614,0,0,0,0,0,0,0,62,2070,0,0,0,0,776,0,104
"411.86725 Da 41.17 s",0.69,412.87452,0,0,0,102,880,0,550,0,1382,348,152,852,0,416,712,752,1598,0,0,0,764,0,0,592,1140,110,792,0,740,0
"641.15968 Da 41.20 s",0.69,321.58712,0,0,0,0,0,11042,0,0,0,6316,0,0,0,0,0,0,0,27606,0,0,0,0,0,0,0,22786,0,5042,0,0
"578.13672 Da 41.41 s",0.69,290.07564,0,0,0,0,62,8060,0,0,0,1302,0,150,0,1468,0,0,0,20072,58,0,0,0,0,0,0,15144,0,514,0,0
"704.18019 Da 41.41 s",0.69,353.09737,0,0,0,0,0,13342,68,0,0,9964,0,0,0,11012,0,0,0,20380,0,0,0,0,0,66,0,18582,0,7482,78,0
"273.92339 Da 41.44 s",0.69,274.93066,356,0,0,0,1310,0,538,0,1826,330,0,998,0,312,878,530,2918,0,0,248,1724,0,0,866,1812,0,460,296,1536,0
"384.08452 Da 41.49 s",0.69,385.09179,0,0,0,0,0,6530,38,0,82,1564,0,88,0,1482,0,0,0,11990,0,0,76,0,0,0,0,10388,0,696,68,0
"382.09535 Da 41.73 s",0.7,192.05495,0,0,0,0,164,1210,0,0,0,0,0,0,0,314,0,0,0,2860,0,0,0,0,0,0,0,3636,0,0,0,0
"596.10890 Da 41.74 s",0.7,299.06173,94,160,0,0,98,1724,160,116,228,0,172,104,0,142,114,138,0,3552,0,108,32,58,0,0,68,2184,132,0,0,92
"648.02862 Da 41.80 s",0.7,325.02159,0,0,0,0,0,264,0,0,0,0,0,0,114,0,0,0,0,484,0,0,0,0,0,0,0,482,0,0,0,0
"271.92296 Da 41.85 s",0.7,272.93024,374,440,548,100,940,324,1108,340,1500,0,778,1136,268,0,1750,2204,1718,302,1196,402,1418,366,124,1486,1334,0,1556,0,980,1196
"777.17339 Da 41.98 s",0.7,389.59397,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,932,0,0,0,0,242,0,0,362,0,0,0,0
"562.15890 Da 42.05 s",0.7,282.08673,0,0,0,0,0,1574,0,0,0,328,0,0,0,0,0,0,0,3890,0,0,0,0,0,0,0,3852,0,280,0,0
"785.17696 Da 42.06 s",0.7,786.18424,0,0,0,0,0,2712,0,0,0,926,0,0,0,678,0,0,0,2560,0,0,0,0,0,0,0,2122,0,416,0,0
"576.09779 Da 42.15 s",0.7,289.05617,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0
"776.17411 Da 42.15 s",0.7,389.09433,0,0,0,0,42,608,0,380,0,0,0,0,0,0,0,0,0,1542,0,0,0,0,0,0,0,500,0,0,0,0
"302.02799 Da 42.16 s",0.7,303.03527,0,0,0,2482,68,0,0,0,0,0,0,0,2234,0,0,0,82,0,0,0,0,0,2276,0,0,0,0,90,0,0
"417.01677 Da 42.17 s",0.7,418.02405,0,0,0,0,0,0,0,0,0,3214,0,0,0,3522,0,0,0,0,0,0,0,0,0,0,0,0,0,2118,0,0
"994.31153 Da 42.17 s",0.7,498.16304,0,0,0,0,0,4100,0,0,0,4558,0,0,0,4770,0,0,0,6550,0,0,0,0,0,0,0,5934,0,3202,0,0
"751.23773 Da 42.17 s",0.7,752.24501,0,0,0,0,0,8176,0,0,0,12614,0,0,0,11720,0,0,0,8072,0,0,0,0,0,0,0,7680,0,12634,0,0
"597.10849 Da 42.17 s",0.7,299.56152,0,0,0,0,0,2304,0,0,0,248,0,0,0,0,0,0,0,2966,0,0,0,0,0,0,0,1842,0,0,0,0
"1253.37504 Da 42.24 s",0.7,627.69479,0,0,0,0,0,18282,0,0,0,15098,0,0,0,16146,0,0,0,19558,0,0,0,0,0,0,0,18532,0,12786,0,0
"138.52375 Da 42.26 s",0.7,139.53103,0,0,0,0,0,4190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5476,0,0,0,0
"740.19027 Da 42.32 s",0.71,371.10241,0,778,0,0,0,124,0,0,0,182,0,0,456,0,0,0,0,0,0,536,524,0,156,0,0,406,0,110,0,636
"578.17638 Da 42.32 s",0.71,290.09547,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,118,0,0,0,76
"602.10125 Da 42.32 s",0.71,302.0579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,118,0,0,406,0,0,0,0
"544.14903 Da 42.32 s",0.71,273.08179,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,416,356,0,0,0,0,0,0,0,0,0,0,406
"579.09566 Da 42.33 s",0.71,290.55511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"758.20061 Da 42.33 s",0.71,380.10758,0,0,0,186,0,574,0,0,0,0,0,0,0,0,0,0,0,966,0,0,0,0,484,0,0,1210,0,0,0,0
"259.03637 Da 42.41 s",0.71,130.52546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4176,0,0,0,0,0,0,0,4874,0,0,0,0
"409.17451 Da 42.43 s",0.71,410.18179,0,0,0,0,0,0,0,3706,0,0,0,0,0,0,0,0,0,0,0,3616,0,3362,0,0,0,0,0,0,0,0
"399.03378 Da 42.48 s",0.71,200.52417,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,872,0,0,0,0
"417.04445 Da 42.49 s",0.71,209.5295,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,1724,0,0,0,0,0,0,0,2022,0,0,0,0
"600.10546 Da 42.50 s",0.71,301.06001,86,94,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0
"416.04700 Da 42.61 s",0.71,209.03077,0,0,0,0,0,1654,0,0,0,72,0,0,0,126,0,54,0,1850,0,0,0,0,0,0,0,2894,0,118,0,46
"1010.28954 Da 42.61 s",0.71,506.15205,0,0,0,0,0,31182,0,0,0,31060,0,0,0,26928,0,0,0,35744,0,0,0,0,0,0,0,38308,0,22010,0,0
"560.12540 Da 42.64 s",0.71,281.06998,92,152,0,0,0,188,0,0,0,0,0,0,0,0,0,0,110,76,0,0,0,0,0,0,0,0,0,0,0,46
"646.01361 Da 42.65 s",0.71,324.01408,0,0,0,0,0,376,0,0,0,0,162,0,0,0,0,0,0,940,0,0,0,0,56,0,0,500,0,0,0,0
"786.17454 Da 42.66 s",0.71,787.18182,0,0,0,0,0,6316,0,0,0,3872,0,0,0,2684,0,0,0,5658,0,0,0,0,0,0,0,3858,0,1258,0,0
"772.28814 Da 42.67 s",0.71,387.15134,0,0,0,932,0,0,126,0,0,0,0,0,872,0,0,0,0,0,0,0,0,0,964,0,0,0,0,0,0,0
"486.65392 Da 42.71 s",0.71,487.6612,0,0,0,0,0,2540,0,0,0,3586,0,0,0,3388,0,0,0,4262,0,0,0,0,0,0,0,4480,0,1812,0,0
"243.33354 Da 42.78 s",0.71,244.34081,0,0,0,0,0,1728,0,0,0,1812,0,0,0,1986,0,0,0,4172,0,0,0,0,0,0,0,4216,0,932,0,0
"486.35833 Da 42.79 s",0.71,487.36561,0,0,0,0,0,6856,0,0,0,9596,0,0,0,10478,0,0,0,10862,0,0,0,0,0,0,0,10590,0,7362,0,0
"486.58351 Da 42.79 s",0.71,487.59079,0,0,0,0,0,3188,0,0,0,4004,0,0,0,4208,0,0,0,5382,0,0,0,0,0,0,0,4890,0,2096,0,0
"486.82083 Da 42.79 s",0.71,487.82811,0,0,0,0,0,8624,0,0,0,11014,70,0,0,11978,0,0,0,13424,0,0,0,0,0,0,116,13098,0,8954,0,0
"486.47668 Da 42.80 s",0.71,487.48396,0,0,0,0,0,0,0,0,0,9636,0,0,0,10266,0,0,0,0,0,0,0,0,0,0,0,10768,0,8404,0,0
"486.54871 Da 42.83 s",0.71,487.55599,0,0,0,0,0,3196,0,0,0,5090,0,0,0,5446,0,0,0,6002,0,0,0,0,0,0,0,6034,0,3312,0,0
"742.22396 Da 42.84 s",0.71,372.11926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0
"486.30285 Da 42.85 s",0.71,487.31012,0,0,0,0,0,1820,0,0,0,2278,0,0,0,2288,0,0,0,2592,0,0,0,0,0,0,0,2702,0,2010,0,0
